vaucher,site,lat,lon,bio3,bio6,bio4,bio11,bio5,bio1,bio10,elevate,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio8,bio9,bio2,bio7
"5120","Gaitán, Murcia, ES",37.561810000000001,-1.259270000000000,40.00000,60.00000,5273.00000,117.00000,319.00000,182.00000,252.00000,255.00000,278.00000,45.00000,2.00000,50.00000,113.00000,18.00000,31.00000,80.00000,155.00000,250.00000,106.00000,259.00000
"5121","Gaitán, Murcia, ES",37.561810000000001,-1.259270000000000,40.00000,60.00000,5273.00000,117.00000,319.00000,182.00000,252.00000,255.00000,278.00000,45.00000,2.00000,50.00000,113.00000,18.00000,31.00000,80.00000,155.00000,250.00000,106.00000,259.00000
"5122","Valcárcel, Murcia, ES",37.987050000000004,-1.128610000000000,42.00000,47.00000,5645.00000,110.00000,332.00000,180.00000,254.00000,0.00000,294.00000,48.00000,2.00000,51.00000,113.00000,21.00000,37.00000,76.00000,150.00000,254.00000,120.00000,285.00000
"40282","Tarifa, Cádiz, ES",36.014319999999998,-5.604440000000000,41.00000,80.00000,4015.00000,123.00000,277.00000,172.00000,226.00000,0.00000,828.00000,146.00000,0.00000,76.00000,398.00000,13.00000,21.00000,394.00000,132.00000,223.00000,81.00000,197.00000
"40283","Tarifa, Cádiz, ES",36.014319999999998,-5.604440000000000,41.00000,80.00000,4015.00000,123.00000,277.00000,172.00000,226.00000,0.00000,828.00000,146.00000,0.00000,76.00000,398.00000,13.00000,21.00000,394.00000,132.00000,223.00000,81.00000,197.00000
"66306","Benalup-Casas Viejas, Cádiz, ES",36.343179999999997,-5.816640000000000,37.00000,78.00000,4349.00000,118.00000,277.00000,172.00000,230.00000,116.00000,770.00000,131.00000,1.00000,72.00000,352.00000,16.00000,23.00000,337.00000,126.00000,226.00000,75.00000,199.00000
"66307","Benalup-Casas Viejas, Cádiz, ES",36.343179999999997,-5.816640000000000,37.00000,78.00000,4349.00000,118.00000,277.00000,172.00000,230.00000,116.00000,770.00000,131.00000,1.00000,72.00000,352.00000,16.00000,23.00000,337.00000,126.00000,226.00000,75.00000,199.00000
"66308","Benalup-Casas Viejas, Cádiz, ES",36.343179999999997,-5.816640000000000,37.00000,78.00000,4349.00000,118.00000,277.00000,172.00000,230.00000,116.00000,770.00000,131.00000,1.00000,72.00000,352.00000,16.00000,23.00000,337.00000,126.00000,226.00000,75.00000,199.00000
"68301","Tocha, Cantanhede, Coimbra, PT",40.322229999999998,-8.770140000000000,45.00000,65.00000,3463.00000,105.00000,245.00000,152.00000,194.00000,133.00000,960.00000,135.00000,10.00000,53.00000,388.00000,62.00000,70.00000,382.00000,113.00000,193.00000,81.00000,180.00000
"68302","Tocha, Cantanhede, Coimbra, PT",40.322229999999998,-8.770140000000000,45.00000,65.00000,3463.00000,105.00000,245.00000,152.00000,194.00000,133.00000,960.00000,135.00000,10.00000,53.00000,388.00000,62.00000,70.00000,382.00000,113.00000,193.00000,81.00000,180.00000
"68314","Tocha, Cantanhede, Coimbra, PT",40.322229999999998,-8.770140000000000,45.00000,65.00000,3463.00000,105.00000,245.00000,152.00000,194.00000,133.00000,960.00000,135.00000,10.00000,53.00000,388.00000,62.00000,70.00000,382.00000,113.00000,193.00000,81.00000,180.00000
"106625","Los Escoriales, Andújar, Jaén, ES",38.373399999999997,-4.125150000000000,37.00000,21.00000,6942.00000,71.00000,349.00000,155.00000,248.00000,177.00000,544.00000,78.00000,4.00000,52.00000,201.00000,28.00000,28.00000,188.00000,108.00000,248.00000,122.00000,328.00000
"106626","Los Escoriales, Andújar, Jaén, ES",38.373399999999997,-4.125150000000000,37.00000,21.00000,6942.00000,71.00000,349.00000,155.00000,248.00000,177.00000,544.00000,78.00000,4.00000,52.00000,201.00000,28.00000,28.00000,188.00000,108.00000,248.00000,122.00000,328.00000
"106627","Los Escoriales, Andújar, Jaén, ES",38.373399999999997,-4.125150000000000,37.00000,21.00000,6942.00000,71.00000,349.00000,155.00000,248.00000,177.00000,544.00000,78.00000,4.00000,52.00000,201.00000,28.00000,28.00000,188.00000,108.00000,248.00000,122.00000,328.00000
"106628","Los Escoriales, Andújar, Jaén, ES",38.373399999999997,-4.125150000000000,37.00000,21.00000,6942.00000,71.00000,349.00000,155.00000,248.00000,177.00000,544.00000,78.00000,4.00000,52.00000,201.00000,28.00000,28.00000,188.00000,108.00000,248.00000,122.00000,328.00000
"106642","Villanueva del Duque, Córdoba, ES",38.393120000000003,-4.998740000000000,37.00000,20.00000,6897.00000,70.00000,351.00000,154.00000,247.00000,109.00000,605.00000,86.00000,4.00000,54.00000,224.00000,29.00000,29.00000,216.00000,83.00000,247.00000,125.00000,331.00000
"106643","Villanueva del Duque, Córdoba, ES",38.393120000000003,-4.998740000000000,37.00000,20.00000,6897.00000,70.00000,351.00000,154.00000,247.00000,109.00000,605.00000,86.00000,4.00000,54.00000,224.00000,29.00000,29.00000,216.00000,83.00000,247.00000,125.00000,331.00000
"106644","Villanueva del Duque, Córdoba, ES",38.393120000000003,-4.998740000000000,37.00000,20.00000,6897.00000,70.00000,351.00000,154.00000,247.00000,109.00000,605.00000,86.00000,4.00000,54.00000,224.00000,29.00000,29.00000,216.00000,83.00000,247.00000,125.00000,331.00000
"106645","Villanueva del Duque, Córdoba, ES",38.393120000000003,-4.998740000000000,37.00000,20.00000,6897.00000,70.00000,351.00000,154.00000,247.00000,109.00000,605.00000,86.00000,4.00000,54.00000,224.00000,29.00000,29.00000,216.00000,83.00000,247.00000,125.00000,331.00000
"106655","El Pedroso, Sevilla, ES",37.841560000000001,-5.765530000000000,39.00000,32.00000,6488.00000,84.00000,349.00000,162.00000,249.00000,141.00000,643.00000,89.00000,3.00000,59.00000,258.00000,25.00000,30.00000,247.00000,92.00000,248.00000,124.00000,317.00000
"106656","El Pedroso, Sevilla, ES",37.841560000000001,-5.765530000000000,39.00000,32.00000,6488.00000,84.00000,349.00000,162.00000,249.00000,141.00000,643.00000,89.00000,3.00000,59.00000,258.00000,25.00000,30.00000,247.00000,92.00000,248.00000,124.00000,317.00000
"106657","El Pedroso, Sevilla, ES",37.841560000000001,-5.765530000000000,39.00000,32.00000,6488.00000,84.00000,349.00000,162.00000,249.00000,141.00000,643.00000,89.00000,3.00000,59.00000,258.00000,25.00000,30.00000,247.00000,92.00000,248.00000,124.00000,317.00000
"106659","El Pedroso, Sevilla, ES",37.841560000000001,-5.765530000000000,39.00000,32.00000,6488.00000,84.00000,349.00000,162.00000,249.00000,141.00000,643.00000,89.00000,3.00000,59.00000,258.00000,25.00000,30.00000,247.00000,92.00000,248.00000,124.00000,317.00000
"106697","Sedas, Espirito, Mértelo, Beja, PT",37.636290000000002,-7.664700000000000,41.00000,67.00000,4928.00000,111.00000,312.00000,171.00000,237.00000,231.00000,510.00000,77.00000,2.00000,62.00000,224.00000,20.00000,23.00000,212.00000,119.00000,233.00000,102.00000,245.00000
"106698","Sedas, Espirito, Mértelo, Beja, PT",37.636290000000002,-7.664700000000000,41.00000,67.00000,4928.00000,111.00000,312.00000,171.00000,237.00000,231.00000,510.00000,77.00000,2.00000,62.00000,224.00000,20.00000,23.00000,212.00000,119.00000,233.00000,102.00000,245.00000
"106699","Sedas, Espirito, Mértelo, Beja, PT",37.636290000000002,-7.664700000000000,41.00000,67.00000,4928.00000,111.00000,312.00000,171.00000,237.00000,231.00000,510.00000,77.00000,2.00000,62.00000,224.00000,20.00000,23.00000,212.00000,119.00000,233.00000,102.00000,245.00000
"106700","Sedas, Espirito, Mértelo, Beja, PT",37.636290000000002,-7.664700000000000,41.00000,67.00000,4928.00000,111.00000,312.00000,171.00000,237.00000,231.00000,510.00000,77.00000,2.00000,62.00000,224.00000,20.00000,23.00000,212.00000,119.00000,233.00000,102.00000,245.00000
"106718","Boticos, Abela, Santiago do Cacém, Setúbal, PT",38.005629999999996,-8.500769999999999,42.00000,72.00000,4434.00000,112.00000,297.00000,165.00000,225.00000,255.00000,589.00000,88.00000,2.00000,63.00000,261.00000,24.00000,25.00000,256.00000,120.00000,220.00000,96.00000,225.00000
"106719","Boticos, Abela, Santiago do Cacém, Setúbal, PT",38.005629999999996,-8.500769999999999,42.00000,72.00000,4434.00000,112.00000,297.00000,165.00000,225.00000,255.00000,589.00000,88.00000,2.00000,63.00000,261.00000,24.00000,25.00000,256.00000,120.00000,220.00000,96.00000,225.00000
"106720","Boticos, Abela, Santiago do Cacém, Setúbal, PT",38.005629999999996,-8.500769999999999,42.00000,72.00000,4434.00000,112.00000,297.00000,165.00000,225.00000,255.00000,589.00000,88.00000,2.00000,63.00000,261.00000,24.00000,25.00000,256.00000,120.00000,220.00000,96.00000,225.00000
"106721","Boticos, Abela, Santiago do Cacém, Setúbal, PT",38.005629999999996,-8.500769999999999,42.00000,72.00000,4434.00000,112.00000,297.00000,165.00000,225.00000,255.00000,589.00000,88.00000,2.00000,63.00000,261.00000,24.00000,25.00000,256.00000,120.00000,220.00000,96.00000,225.00000
"106741","Évora, Évora, PT",38.571429999999999,-7.913500000000000,40.00000,63.00000,5008.00000,101.00000,307.00000,161.00000,229.00000,207.00000,617.00000,85.00000,4.00000,56.00000,251.00000,35.00000,35.00000,251.00000,101.00000,225.00000,100.00000,244.00000
"106806","Burguillos del Cerro, Badajoz, ES",38.404449999999997,-6.599690000000000,38.00000,34.00000,6141.00000,81.00000,331.00000,156.00000,238.00000,193.00000,594.00000,80.00000,4.00000,54.00000,232.00000,33.00000,36.00000,221.00000,90.00000,236.00000,115.00000,297.00000
"106809","Burguillos del Cerro, Badajoz, ES",38.404449999999997,-6.599690000000000,38.00000,34.00000,6141.00000,81.00000,331.00000,156.00000,238.00000,193.00000,594.00000,80.00000,4.00000,54.00000,232.00000,33.00000,36.00000,221.00000,90.00000,236.00000,115.00000,297.00000
"106834","Don Benito, Badajoz, ES",38.954459999999997,-5.861890000000000,37.00000,37.00000,6581.00000,86.00000,352.00000,166.00000,254.00000,78.00000,487.00000,63.00000,3.00000,52.00000,180.00000,28.00000,28.00000,169.00000,94.00000,254.00000,119.00000,315.00000
"106836","Don Benito, Badajoz, ES",38.954459999999997,-5.861890000000000,37.00000,37.00000,6581.00000,86.00000,352.00000,166.00000,254.00000,78.00000,487.00000,63.00000,3.00000,52.00000,180.00000,28.00000,28.00000,169.00000,94.00000,254.00000,119.00000,315.00000
"106837","Don Benito, Badajoz, ES",38.954459999999997,-5.861890000000000,37.00000,37.00000,6581.00000,86.00000,352.00000,166.00000,254.00000,78.00000,487.00000,63.00000,3.00000,52.00000,180.00000,28.00000,28.00000,169.00000,94.00000,254.00000,119.00000,315.00000
"106838","Don Benito, Badajoz, ES",38.954459999999997,-5.861890000000000,37.00000,37.00000,6581.00000,86.00000,352.00000,166.00000,254.00000,78.00000,487.00000,63.00000,3.00000,52.00000,180.00000,28.00000,28.00000,169.00000,94.00000,254.00000,119.00000,315.00000
"106854","Aldeaseca de Alba, Salamanca, ES",40.818980000000003,-5.447640000000000,39.00000,-2.00000,6100.00000,44.00000,291.00000,118.00000,200.00000,132.00000,410.00000,49.00000,11.00000,32.00000,131.00000,56.00000,58.00000,113.00000,77.00000,197.00000,117.00000,293.00000
"106855","Aldeaseca de Alba, Salamanca, ES",40.818980000000003,-5.447640000000000,39.00000,-2.00000,6100.00000,44.00000,291.00000,118.00000,200.00000,132.00000,410.00000,49.00000,11.00000,32.00000,131.00000,56.00000,58.00000,113.00000,77.00000,197.00000,117.00000,293.00000
"106856","Aldeaseca de Alba, Salamanca, ES",40.818980000000003,-5.447640000000000,39.00000,-2.00000,6100.00000,44.00000,291.00000,118.00000,200.00000,132.00000,410.00000,49.00000,11.00000,32.00000,131.00000,56.00000,58.00000,113.00000,77.00000,197.00000,117.00000,293.00000
"106857","Aldeaseca de Alba, Salamanca, ES",40.818980000000003,-5.447640000000000,39.00000,-2.00000,6100.00000,44.00000,291.00000,118.00000,200.00000,132.00000,410.00000,49.00000,11.00000,32.00000,131.00000,56.00000,58.00000,113.00000,77.00000,197.00000,117.00000,293.00000
"106876","Menasalbas, Toledo, ES",39.641410000000000,-4.283340000000000,36.00000,5.00000,6844.00000,56.00000,327.00000,138.00000,231.00000,85.00000,431.00000,51.00000,8.00000,38.00000,144.00000,46.00000,46.00000,121.00000,122.00000,231.00000,118.00000,322.00000
